code,report_month,region,commodity,item,year,period,value,min_value,max_value
COTTON_WORLD_27,2020-10,World Less China,Cotton,Exports,2020/21 Proj.,Sep,41.6,,
COTTON_WORLD_27,2020-10,World,Cotton,Beginning Stocks,2020/21 Proj.,Sep,99.44,,
COTTON_WORLD_27,2020-10,World,Cotton,Production,2020/21 Proj.,Sep,117.2,,
COTTON_WORLD_27,2020-10,World,Cotton,Imports,2020/21 Proj.,Sep,41.75,,
COTTON_WORLD_27,2020-10,World,Cotton,Domestic Use,2020/21 Proj.,Sep,112.69,,
COTTON_WORLD_27,2020-10,World,Cotton,Exports,2020/21 Proj.,Sep,41.72,,
COTTON_WORLD_27,2020-10,World,Cotton,Loss /2,2020/21 Proj.,Sep,0.15,,
COTTON_WORLD_27,2020-10,World,Cotton,Ending Stocks,2020/21 Proj.,Sep,103.84,,
COTTON_WORLD_27,2020-10,World,Cotton,Beginning Stocks,2020/21 Proj.,Oct,99.21,,
COTTON_WORLD_27,2020-10,World,Cotton,Production,2020/21 Proj.,Oct,116.27,,
COTTON_WORLD_27,2020-10,World,Cotton,Imports,2020/21 Proj.,Oct,42.23,,
COTTON_WORLD_27,2020-10,World,Cotton,Domestic Use,2020/21 Proj.,Oct,114.21,,
COTTON_WORLD_27,2020-10,World,Cotton,Exports,2020/21 Proj.,Oct,42.24,,
COTTON_WORLD_27,2020-10,World,Cotton,Loss /2,2020/21 Proj.,Oct,0.13,,
COTTON_WORLD_27,2020-10,World,Cotton,Ending Stocks,2020/21 Proj.,Oct,101.13,,
COTTON_WORLD_27,2020-10,World Less China,Cotton,Beginning Stocks,2020/21 Proj.,Sep,62.54,,
COTTON_WORLD_27,2020-10,World Less China,Cotton,Production,2020/21 Proj.,Sep,89.95,,
COTTON_WORLD_27,2020-10,World Less China,Cotton,Imports,2020/21 Proj.,Sep,32.75,,
COTTON_WORLD_27,2020-10,World Less China,Cotton,Domestic Use,2020/21 Proj.,Sep,76.19,,
COTTON_WORLD_27,2020-10,World Less China,Cotton,Loss /2,2020/21 Proj.,Sep,0.15,,
COTTON_WORLD_27,2020-10,World Less China,Cotton,Ending Stocks,2020/21 Proj.,Sep,67.32,,
COTTON_WORLD_27,2020-10,World Less China,Cotton,Beginning Stocks,2020/21 Proj.,Oct,62.31,,
COTTON_WORLD_27,2020-10,World Less China,Cotton,Production,2020/21 Proj.,Oct,89.02,,
COTTON_WORLD_27,2020-10,World Less China,Cotton,Imports,2020/21 Proj.,Oct,32.73,,
