code,report_month,region,commodity,item,year,period,value,min_value,max_value
COURSE_GRAIN_WORLD_21,2020-10,World 3/,Coarse Grains,Beginning Stocks,2020/21 Proj.,Sep,337.64,,
COURSE_GRAIN_WORLD_21,2020-10,World 3/,Coarse Grains,Production,2020/21 Proj.,Sep,1460.26,,
COURSE_GRAIN_WORLD_21,2020-10,World 3/,Coarse Grains,Imports,2020/21 Proj.,Sep,215.86,,
COURSE_GRAIN_WORLD_21,2020-10,World 3/,Coarse Grains,Domestic Feed,2020/21 Proj.,Sep,900.4,,
COURSE_GRAIN_WORLD_21,2020-10,World 3/,Coarse Grains,Domestic Total 2/,2020/21 Proj.,Sep,1460.66,,
COURSE_GRAIN_WORLD_21,2020-10,World 3/,Coarse Grains,Exports,2020/21 Proj.,Sep,224.09,,
COURSE_GRAIN_WORLD_21,2020-10,World 3/,Coarse Grains,Ending Stocks,2020/21 Proj.,Sep,337.25,,
COURSE_GRAIN_WORLD_21,2020-10,World 3/,Coarse Grains,Beginning Stocks,2020/21 Proj.,Oct,332.42,,
COURSE_GRAIN_WORLD_21,2020-10,World 3/,Coarse Grains,Production,2020/21 Proj.,Oct,1458.84,,
COURSE_GRAIN_WORLD_21,2020-10,World 3/,Coarse Grains,Imports,2020/21 Proj.,Oct,214.53,,
COURSE_GRAIN_WORLD_21,2020-10,World 3/,Coarse Grains,Domestic Feed,2020/21 Proj.,Oct,899.01,,
COURSE_GRAIN_WORLD_21,2020-10,World 3/,Coarse Grains,Domestic Total 2/,2020/21 Proj.,Oct,1460.67,,
COURSE_GRAIN_WORLD_21,2020-10,World 3/,Coarse Grains,Exports,2020/21 Proj.,Oct,222.87,,
COURSE_GRAIN_WORLD_21,2020-10,World 3/,Coarse Grains,Ending Stocks,2020/21 Proj.,Oct,330.59,,
COURSE_GRAIN_WORLD_21,2020-10,World Less China,Coarse Grains,Beginning Stocks,2020/21 Proj.,Sep,136.26,,
COURSE_GRAIN_WORLD_21,2020-10,World Less China,Coarse Grains,Production,2020/21 Proj.,Sep,1192.89,,
COURSE_GRAIN_WORLD_21,2020-10,World Less China,Coarse Grains,Imports,2020/21 Proj.,Sep,197.41,,
COURSE_GRAIN_WORLD_21,2020-10,World Less China,Coarse Grains,Domestic Feed,2020/21 Proj.,Sep,698.9,,
COURSE_GRAIN_WORLD_21,2020-10,World Less China,Coarse Grains,Domestic Total 2/,2020/21 Proj.,Sep,1162.98,,
COURSE_GRAIN_WORLD_21,2020-10,World Less China,Coarse Grains,Exports,2020/21 Proj.,Sep,224.02,,
COURSE_GRAIN_WORLD_21,2020-10,World Less China,Coarse Grains,Ending Stocks,2020/21 Proj.,Sep,147.8,,
COURSE_GRAIN_WORLD_21,2020-10,World Less China,Coarse Grains,Beginning Stocks,2020/21 Proj.,Oct,131.23,,
COURSE_GRAIN_WORLD_21,2020-10,World Less China,Coarse Grains,Production,2020/21 Proj.,Oct,1191.47,,
COURSE_GRAIN_WORLD_21,2020-10,World Less China,Coarse Grains,Imports,2020/21 Proj.,Oct,195.78,,
COURSE_GRAIN_WORLD_21,2020-10,World Less China,Coarse Grains,Domestic Feed,2020/21 Proj.,Oct,697.21,,
COURSE_GRAIN_WORLD_21,2020-10,World Less China,Coarse Grains,Domestic Total 2/,2020/21 Proj.,Oct,1162.69,,
COURSE_GRAIN_WORLD_21,2020-10,World Less China,Coarse Grains,Exports,2020/21 Proj.,Oct,222.8,,
COURSE_GRAIN_WORLD_21,2020-10,World Less China,Coarse Grains,Ending Stocks,2020/21 Proj.,Oct,141.33,,
COURSE_GRAIN_WORLD_21,2020-10,United States,Coarse Grains,Beginning Stocks,2020/21 Proj.,Sep,60.43,,
COURSE_GRAIN_WORLD_21,2020-10,United States,Coarse Grains,Production,2020/21 Proj.,Sep,392.63,,
COURSE_GRAIN_WORLD_21,2020-10,United States,Coarse Grains,Imports,2020/21 Proj.,Sep,2.72,,
COURSE_GRAIN_WORLD_21,2020-10,United States,Coarse Grains,Domestic Feed,2020/21 Proj.,Sep,151.98,,
COURSE_GRAIN_WORLD_21,2020-10,United States,Coarse Grains,Domestic Total 2/,2020/21 Proj.,Sep,323.34,,
COURSE_GRAIN_WORLD_21,2020-10,United States,Coarse Grains,Exports,2020/21 Proj.,Sep,65.81,,
COURSE_GRAIN_WORLD_21,2020-10,United States,Coarse Grains,Ending Stocks,2020/21 Proj.,Sep,66.64,,
COURSE_GRAIN_WORLD_21,2020-10,United States,Coarse Grains,Beginning Stocks,2020/21 Proj.,Oct,53.74,,
COURSE_GRAIN_WORLD_21,2020-10,United States,Coarse Grains,Production,2020/21 Proj.,Oct,388.2,,
COURSE_GRAIN_WORLD_21,2020-10,United States,Coarse Grains,Imports,2020/21 Proj.,Oct,2.69,,
COURSE_GRAIN_WORLD_21,2020-10,United States,Coarse Grains,Domestic Feed,2020/21 Proj.,Oct,150.58,,
COURSE_GRAIN_WORLD_21,2020-10,United States,Coarse Grains,Domestic Total 2/,2020/21 Proj.,Oct,320.68,,
COURSE_GRAIN_WORLD_21,2020-10,United States,Coarse Grains,Exports,2020/21 Proj.,Oct,65.83,,
COURSE_GRAIN_WORLD_21,2020-10,United States,Coarse Grains,Ending Stocks,2020/21 Proj.,Oct,58.13,,
COURSE_GRAIN_WORLD_21,2020-10,Total Foreign,Coarse Grains,Beginning Stocks,2020/21 Proj.,Sep,277.21,,
COURSE_GRAIN_WORLD_21,2020-10,Total Foreign,Coarse Grains,Production,2020/21 Proj.,Sep,1067.63,,
COURSE_GRAIN_WORLD_21,2020-10,Total Foreign,Coarse Grains,Imports,2020/21 Proj.,Sep,213.13,,
COURSE_GRAIN_WORLD_21,2020-10,Total Foreign,Coarse Grains,Domestic Feed,2020/21 Proj.,Sep,748.42,,
COURSE_GRAIN_WORLD_21,2020-10,Total Foreign,Coarse Grains,Domestic Total 2/,2020/21 Proj.,Sep,1137.31,,
COURSE_GRAIN_WORLD_21,2020-10,Total Foreign,Coarse Grains,Exports,2020/21 Proj.,Sep,158.28,,
COURSE_GRAIN_WORLD_21,2020-10,Total Foreign,Coarse Grains,Ending Stocks,2020/21 Proj.,Sep,270.61,,
COURSE_GRAIN_WORLD_21,2020-10,Total Foreign,Coarse Grains,Beginning Stocks,2020/21 Proj.,Oct,278.68,,
COURSE_GRAIN_WORLD_21,2020-10,Total Foreign,Coarse Grains,Production,2020/21 Proj.,Oct,1070.64,,
COURSE_GRAIN_WORLD_21,2020-10,Total Foreign,Coarse Grains,Imports,2020/21 Proj.,Oct,211.84,,
COURSE_GRAIN_WORLD_21,2020-10,Total Foreign,Coarse Grains,Domestic Feed,2020/21 Proj.,Oct,748.43,,
COURSE_GRAIN_WORLD_21,2020-10,Total Foreign,Coarse Grains,Domestic Total 2/,2020/21 Proj.,Oct,1140.0,,
COURSE_GRAIN_WORLD_21,2020-10,Total Foreign,Coarse Grains,Exports,2020/21 Proj.,Oct,157.04,,
COURSE_GRAIN_WORLD_21,2020-10,Total Foreign,Coarse Grains,Ending Stocks,2020/21 Proj.,Oct,272.47,,
COURSE_GRAIN_WORLD_21,2020-10,Major Exporters 4/,Coarse Grains,Beginning Stocks,2020/21 Proj.,Sep,21.96,,
COURSE_GRAIN_WORLD_21,2020-10,Major Exporters 4/,Coarse Grains,Production,2020/21 Proj.,Sep,318.34,,
COURSE_GRAIN_WORLD_21,2020-10,Major Exporters 4/,Coarse Grains,Imports,2020/21 Proj.,Sep,4.15,,
COURSE_GRAIN_WORLD_21,2020-10,Major Exporters 4/,Coarse Grains,Domestic Feed,2020/21 Proj.,Sep,136.84,,
