code,report_month,region,commodity,item,year,period,value,min_value,max_value
GRAINS_WORLD_08,2020-10,World,Total Grains 4/,Output,2018/19,Annual,2625.19,,
GRAINS_WORLD_08,2020-10,World,Total Grains 4/,Total Supply,2018/19,Annual,3447.76,,
GRAINS_WORLD_08,2020-10,World,Total Grains 4/,Trade 2/,2018/19,Annual,429.35,,
GRAINS_WORLD_08,2020-10,World,Total Grains 4/,Total Use 3/,2018/19,Annual,2640.27,,
GRAINS_WORLD_08,2020-10,World,Total Grains 4/,Ending Stocks,2018/19,Annual,807.49,,
GRAINS_WORLD_08,2020-10,World,Total Grains 4/,Output,2019/20 Est.,Annual,2670.99,,
GRAINS_WORLD_08,2020-10,World,Total Grains 4/,Total Supply,2019/20 Est.,Annual,3478.48,,
GRAINS_WORLD_08,2020-10,World,Total Grains 4/,Trade 2/,2019/20 Est.,Annual,440.85,,
GRAINS_WORLD_08,2020-10,World,Total Grains 4/,Total Use 3/,2019/20 Est.,Annual,2669.55,,
GRAINS_WORLD_08,2020-10,World,Total Grains 4/,Ending Stocks,2019/20 Est.,Annual,808.93,,
GRAINS_WORLD_08,2020-10,World,Total Grains 4/,Output,2020/21 Proj.,Sep,2730.33,,
GRAINS_WORLD_08,2020-10,World,Total Grains 4/,Total Supply,2020/21 Proj.,Sep,3549.42,,
GRAINS_WORLD_08,2020-10,World,Total Grains 4/,Trade 2/,2020/21 Proj.,Sep,458.02,,
GRAINS_WORLD_08,2020-10,World,Total Grains 4/,Total Use 3/,2020/21 Proj.,Sep,2707.98,,
GRAINS_WORLD_08,2020-10,World,Total Grains 4/,Ending Stocks,2020/21 Proj.,Sep,841.45,,
GRAINS_WORLD_08,2020-10,World,Total Grains 4/,Output,2020/21 Proj.,Oct,2733.4,,
GRAINS_WORLD_08,2020-10,World,Total Grains 4/,Total Supply,2020/21 Proj.,Oct,3542.33,,
GRAINS_WORLD_08,2020-10,World,Total Grains 4/,Trade 2/,2020/21 Proj.,Oct,457.11,,
GRAINS_WORLD_08,2020-10,World,Total Grains 4/,Total Use 3/,2020/21 Proj.,Oct,2711.14,,
GRAINS_WORLD_08,2020-10,World,Total Grains 4/,Ending Stocks,2020/21 Proj.,Oct,831.19,,
GRAINS_WORLD_08,2020-10,World,Wheat,Output,2018/19,Annual,730.93,,
GRAINS_WORLD_08,2020-10,World,Wheat,Total Supply,2018/19,Annual,1019.24,,
GRAINS_WORLD_08,2020-10,World,Wheat,Trade 2/,2018/19,Annual,173.61,,
GRAINS_WORLD_08,2020-10,World,Wheat,Total Use 3/,2018/19,Annual,735.24,,
GRAINS_WORLD_08,2020-10,World,Wheat,Ending Stocks,2018/19,Annual,284.01,,
GRAINS_WORLD_08,2020-10,World,Wheat,Output,2019/20 Est.,Annual,764.49,,
GRAINS_WORLD_08,2020-10,World,Wheat,Total Supply,2019/20 Est.,Annual,1048.49,,
GRAINS_WORLD_08,2020-10,World,Wheat,Trade 2/,2019/20 Est.,Annual,191.54,,
GRAINS_WORLD_08,2020-10,World,Wheat,Total Use 3/,2019/20 Est.,Annual,749.1,,
GRAINS_WORLD_08,2020-10,World,Wheat,Ending Stocks,2019/20 Est.,Annual,299.4,,
GRAINS_WORLD_08,2020-10,World,Wheat,Output,2020/21 Proj.,Sep,770.49,,
