code,report_month,region,commodity,item,year,period,value,min_value,max_value
OILSEEDS_WORLD_10,2020-10,World,Oilseeds,Output,2018/19,Annual,600.82,,
OILSEEDS_WORLD_10,2020-10,World,Oilseeds,Total Supply,2018/19,Annual,717.54,,
OILSEEDS_WORLD_10,2020-10,World,Oilseeds,Trade,2018/19,Annual,170.42,,
OILSEEDS_WORLD_10,2020-10,World,Oilseeds,Total Use 2/,2018/19,Annual,489.03,,
OILSEEDS_WORLD_10,2020-10,World,Oilseeds,Ending Stocks,2018/19,Annual,132.4,,
OILSEEDS_WORLD_10,2020-10,World,Oilseeds,Output,2019/20 Est.,Annual,576.95,,
OILSEEDS_WORLD_10,2020-10,World,Oilseeds,Total Supply,2019/20 Est.,Annual,709.34,,
OILSEEDS_WORLD_10,2020-10,World,Oilseeds,Trade,2019/20 Est.,Annual,189.9,,
OILSEEDS_WORLD_10,2020-10,World,Oilseeds,Total Use 2/,2019/20 Est.,Annual,505.78,,
OILSEEDS_WORLD_10,2020-10,World,Oilseeds,Ending Stocks,2019/20 Est.,Annual,108.82,,
OILSEEDS_WORLD_10,2020-10,World,Oilseeds,Output,2020/21 Proj.,Sep,609.15,,
OILSEEDS_WORLD_10,2020-10,World,Oilseeds,Total Supply,2020/21 Proj.,Sep,720.83,,
OILSEEDS_WORLD_10,2020-10,World,Oilseeds,Trade,2020/21 Proj.,Sep,189.56,,
OILSEEDS_WORLD_10,2020-10,World,Oilseeds,Total Use 2/,2020/21 Proj.,Sep,515.06,,
OILSEEDS_WORLD_10,2020-10,World,Oilseeds,Ending Stocks,2020/21 Proj.,Sep,106.98,,
OILSEEDS_WORLD_10,2020-10,World,Oilseeds,Output,2020/21 Proj.,Oct,605.5,,
OILSEEDS_WORLD_10,2020-10,World,Oilseeds,Total Supply,2020/21 Proj.,Oct,714.32,,
OILSEEDS_WORLD_10,2020-10,World,Oilseeds,Trade,2020/21 Proj.,Oct,190.97,,
OILSEEDS_WORLD_10,2020-10,World,Oilseeds,Total Use 2/,2020/21 Proj.,Oct,514.8,,
OILSEEDS_WORLD_10,2020-10,World,Oilseeds,Ending Stocks,2020/21 Proj.,Oct,101.18,,
OILSEEDS_WORLD_10,2020-10,World,Oilmeals,Output,2018/19,Annual,332.77,,
OILSEEDS_WORLD_10,2020-10,World,Oilmeals,Total Supply,2018/19,Annual,349.85,,
OILSEEDS_WORLD_10,2020-10,World,Oilmeals,Trade,2018/19,Annual,93.73,,
OILSEEDS_WORLD_10,2020-10,World,Oilmeals,Total Use 2/,2018/19,Annual,328.92,,
OILSEEDS_WORLD_10,2020-10,World,Oilmeals,Ending Stocks,2018/19,Annual,15.09,,
OILSEEDS_WORLD_10,2020-10,World,Oilmeals,Output,2019/20 Est.,Annual,344.56,,
OILSEEDS_WORLD_10,2020-10,World,Oilmeals,Total Supply,2019/20 Est.,Annual,359.65,,
OILSEEDS_WORLD_10,2020-10,World,Oilmeals,Trade,2019/20 Est.,Annual,93.38,,
OILSEEDS_WORLD_10,2020-10,World,Oilmeals,Total Use 2/,2019/20 Est.,Annual,342.17,,
OILSEEDS_WORLD_10,2020-10,World,Oilmeals,Ending Stocks,2019/20 Est.,Annual,13.33,,
OILSEEDS_WORLD_10,2020-10,World,Oilmeals,Output,2020/21 Proj.,Sep,352.8,,
OILSEEDS_WORLD_10,2020-10,World,Oilmeals,Total Supply,2020/21 Proj.,Sep,365.9,,
OILSEEDS_WORLD_10,2020-10,World,Oilmeals,Trade,2020/21 Proj.,Sep,94.3,,
OILSEEDS_WORLD_10,2020-10,World,Oilmeals,Total Use 2/,2020/21 Proj.,Sep,350.19,,
OILSEEDS_WORLD_10,2020-10,World,Oilmeals,Ending Stocks,2020/21 Proj.,Sep,12.14,,
OILSEEDS_WORLD_10,2020-10,World,Oilmeals,Output,2020/21 Proj.,Oct,353.33,,
OILSEEDS_WORLD_10,2020-10,World,Oilmeals,Total Supply,2020/21 Proj.,Oct,366.66,,
OILSEEDS_WORLD_10,2020-10,World,Oilmeals,Trade,2020/21 Proj.,Oct,94.11,,
OILSEEDS_WORLD_10,2020-10,World,Oilmeals,Total Use 2/,2020/21 Proj.,Oct,350.63,,
OILSEEDS_WORLD_10,2020-10,World,Oilmeals,Ending Stocks,2020/21 Proj.,Oct,12.49,,
OILSEEDS_WORLD_10,2020-10,World,Vegetable Oils,Output,2018/19,Annual,203.64,,
OILSEEDS_WORLD_10,2020-10,World,Vegetable Oils,Total Supply,2018/19,Annual,226.84,,
OILSEEDS_WORLD_10,2020-10,World,Vegetable Oils,Trade,2018/19,Annual,85.81,,
OILSEEDS_WORLD_10,2020-10,World,Vegetable Oils,Total Use 2/,2018/19,Annual,200.09,,
OILSEEDS_WORLD_10,2020-10,World,Vegetable Oils,Ending Stocks,2018/19,Annual,22.17,,
OILSEEDS_WORLD_10,2020-10,World,Vegetable Oils,Output,2019/20 Est.,Annual,206.58,,
OILSEEDS_WORLD_10,2020-10,World,Vegetable Oils,Total Supply,2019/20 Est.,Annual,228.75,,
OILSEEDS_WORLD_10,2020-10,World,Vegetable Oils,Trade,2019/20 Est.,Annual,86.78,,
OILSEEDS_WORLD_10,2020-10,World,Vegetable Oils,Total Use 2/,2019/20 Est.,Annual,201.81,,
OILSEEDS_WORLD_10,2020-10,World,Vegetable Oils,Ending Stocks,2019/20 Est.,Annual,21.93,,
OILSEEDS_WORLD_10,2020-10,World,Vegetable Oils,Output,2020/21 Proj.,Sep,209.73,,
OILSEEDS_WORLD_10,2020-10,World,Vegetable Oils,Total Supply,2020/21 Proj.,Sep,231.39,,
OILSEEDS_WORLD_10,2020-10,World,Vegetable Oils,Trade,2020/21 Proj.,Sep,86.61,,
OILSEEDS_WORLD_10,2020-10,World,Vegetable Oils,Total Use 2/,2020/21 Proj.,Sep,207.14,,
