code,report_month,region,commodity,item,year,period,value,min_value,max_value
RICE_WORLD_25,2020-10,World 3/,Rice,Beginning Stocks,2020/21 Proj.,Sep,181.68,,
RICE_WORLD_25,2020-10,World 3/,Rice,Production,2020/21 Proj.,Sep,499.58,,
RICE_WORLD_25,2020-10,World 3/,Rice,Imports,2020/21 Proj.,Sep,42.21,,
RICE_WORLD_25,2020-10,World 3/,Rice,Total /2 Domestic,2020/21 Proj.,Sep,496.42,,
RICE_WORLD_25,2020-10,World 3/,Rice,Exports,2020/21 Proj.,Sep,44.5,,
RICE_WORLD_25,2020-10,World 3/,Rice,Ending Stocks,2020/21 Proj.,Sep,184.83,,
RICE_WORLD_25,2020-10,World 3/,Rice,Beginning Stocks,2020/21 Proj.,Oct,177.11,,
RICE_WORLD_25,2020-10,World 3/,Rice,Production,2020/21 Proj.,Oct,501.47,,
RICE_WORLD_25,2020-10,World 3/,Rice,Imports,2020/21 Proj.,Oct,41.85,,
RICE_WORLD_25,2020-10,World 3/,Rice,Total /2 Domestic,2020/21 Proj.,Oct,499.44,,
RICE_WORLD_25,2020-10,World 3/,Rice,Exports,2020/21 Proj.,Oct,44.32,,
RICE_WORLD_25,2020-10,World 3/,Rice,Ending Stocks,2020/21 Proj.,Oct,179.15,,
RICE_WORLD_25,2020-10,World Less China,Rice,Beginning Stocks,2020/21 Proj.,Sep,65.18,,
RICE_WORLD_25,2020-10,World Less China,Rice,Production,2020/21 Proj.,Sep,352.58,,
RICE_WORLD_25,2020-10,World Less China,Rice,Imports,2020/21 Proj.,Sep,40.01,,
RICE_WORLD_25,2020-10,World Less China,Rice,Total /2 Domestic,2020/21 Proj.,Sep,350.12,,
RICE_WORLD_25,2020-10,World Less China,Rice,Exports,2020/21 Proj.,Sep,41.6,,
RICE_WORLD_25,2020-10,World Less China,Rice,Ending Stocks,2020/21 Proj.,Sep,68.33,,
RICE_WORLD_25,2020-10,World Less China,Rice,Beginning Stocks,2020/21 Proj.,Oct,60.61,,
RICE_WORLD_25,2020-10,World Less China,Rice,Production,2020/21 Proj.,Oct,354.47,,
RICE_WORLD_25,2020-10,World Less China,Rice,Imports,2020/21 Proj.,Oct,39.65,,
RICE_WORLD_25,2020-10,World Less China,Rice,Total /2 Domestic,2020/21 Proj.,Oct,353.14,,
RICE_WORLD_25,2020-10,World Less China,Rice,Exports,2020/21 Proj.,Oct,41.42,,
RICE_WORLD_25,2020-10,World Less China,Rice,Ending Stocks,2020/21 Proj.,Oct,62.65,,
RICE_WORLD_25,2020-10,United States,Rice,Beginning Stocks,2020/21 Proj.,Sep,0.91,,
RICE_WORLD_25,2020-10,United States,Rice,Production,2020/21 Proj.,Sep,7.14,,
RICE_WORLD_25,2020-10,United States,Rice,Imports,2020/21 Proj.,Sep,1.17,,
RICE_WORLD_25,2020-10,United States,Rice,Total /2 Domestic,2020/21 Proj.,Sep,4.62,,
RICE_WORLD_25,2020-10,United States,Rice,Exports,2020/21 Proj.,Sep,3.14,,
RICE_WORLD_25,2020-10,United States,Rice,Ending Stocks,2020/21 Proj.,Sep,1.46,,
RICE_WORLD_25,2020-10,United States,Rice,Beginning Stocks,2020/21 Proj.,Oct,0.91,,
RICE_WORLD_25,2020-10,United States,Rice,Production,2020/21 Proj.,Oct,7.19,,
RICE_WORLD_25,2020-10,United States,Rice,Imports,2020/21 Proj.,Oct,1.18,,
RICE_WORLD_25,2020-10,United States,Rice,Total /2 Domestic,2020/21 Proj.,Oct,4.62,,
RICE_WORLD_25,2020-10,United States,Rice,Exports,2020/21 Proj.,Oct,3.14,,
RICE_WORLD_25,2020-10,United States,Rice,Ending Stocks,2020/21 Proj.,Oct,1.52,,
RICE_WORLD_25,2020-10,Total Foreign,Rice,Beginning Stocks,2020/21 Proj.,Sep,180.77,,
RICE_WORLD_25,2020-10,Total Foreign,Rice,Production,2020/21 Proj.,Sep,492.43,,
RICE_WORLD_25,2020-10,Total Foreign,Rice,Imports,2020/21 Proj.,Sep,41.04,,
RICE_WORLD_25,2020-10,Total Foreign,Rice,Total /2 Domestic,2020/21 Proj.,Sep,491.8,,
RICE_WORLD_25,2020-10,Total Foreign,Rice,Exports,2020/21 Proj.,Sep,41.35,,
RICE_WORLD_25,2020-10,Total Foreign,Rice,Ending Stocks,2020/21 Proj.,Sep,183.38,,
RICE_WORLD_25,2020-10,Total Foreign,Rice,Beginning Stocks,2020/21 Proj.,Oct,176.2,,
RICE_WORLD_25,2020-10,Total Foreign,Rice,Production,2020/21 Proj.,Oct,494.29,,
RICE_WORLD_25,2020-10,Total Foreign,Rice,Imports,2020/21 Proj.,Oct,40.67,,
RICE_WORLD_25,2020-10,Total Foreign,Rice,Total /2 Domestic,2020/21 Proj.,Oct,494.82,,
RICE_WORLD_25,2020-10,Total Foreign,Rice,Exports,2020/21 Proj.,Oct,41.17,,
