code,report_month,region,commodity,item,year,period,value,min_value,max_value
SOYBEAN_OIL_WORLD_30,2020-10,World 2/,Soybean Oil,Beginning Stocks,2018/19,Annual,3.87,,
SOYBEAN_OIL_WORLD_30,2020-10,World 2/,Soybean Oil,Production,2018/19,Annual,55.8,,
SOYBEAN_OIL_WORLD_30,2020-10,World 2/,Soybean Oil,Imports,2018/19,Annual,10.4,,
SOYBEAN_OIL_WORLD_30,2020-10,World 2/,Soybean Oil,Domestic Total,2018/19,Annual,54.95,,
SOYBEAN_OIL_WORLD_30,2020-10,World 2/,Soybean Oil,Exports,2018/19,Annual,11.23,,
SOYBEAN_OIL_WORLD_30,2020-10,World 2/,Soybean Oil,Ending Stocks,2018/19,Annual,3.88,,
SOYBEAN_OIL_WORLD_30,2020-10,World Less China,Soybean Oil,Beginning Stocks,2018/19,Annual,3.3,,
SOYBEAN_OIL_WORLD_30,2020-10,World Less China,Soybean Oil,Production,2018/19,Annual,40.57,,
SOYBEAN_OIL_WORLD_30,2020-10,World Less China,Soybean Oil,Imports,2018/19,Annual,9.62,,
SOYBEAN_OIL_WORLD_30,2020-10,World Less China,Soybean Oil,Domestic Total,2018/19,Annual,39.07,,
SOYBEAN_OIL_WORLD_30,2020-10,World Less China,Soybean Oil,Exports,2018/19,Annual,11.03,,
SOYBEAN_OIL_WORLD_30,2020-10,World Less China,Soybean Oil,Ending Stocks,2018/19,Annual,3.38,,
SOYBEAN_OIL_WORLD_30,2020-10,United States,Soybean Oil,Beginning Stocks,2018/19,Annual,0.91,,
SOYBEAN_OIL_WORLD_30,2020-10,United States,Soybean Oil,Production,2018/19,Annual,10.98,,
SOYBEAN_OIL_WORLD_30,2020-10,United States,Soybean Oil,Imports,2018/19,Annual,0.18,,
SOYBEAN_OIL_WORLD_30,2020-10,United States,Soybean Oil,Domestic Total,2018/19,Annual,10.38,,
SOYBEAN_OIL_WORLD_30,2020-10,United States,Soybean Oil,Exports,2018/19,Annual,0.88,,
SOYBEAN_OIL_WORLD_30,2020-10,United States,Soybean Oil,Ending Stocks,2018/19,Annual,0.81,,
SOYBEAN_OIL_WORLD_30,2020-10,Total Foreign,Soybean Oil,Beginning Stocks,2018/19,Annual,2.96,,
SOYBEAN_OIL_WORLD_30,2020-10,Total Foreign,Soybean Oil,Production,2018/19,Annual,44.82,,
SOYBEAN_OIL_WORLD_30,2020-10,Total Foreign,Soybean Oil,Imports,2018/19,Annual,10.22,,
SOYBEAN_OIL_WORLD_30,2020-10,Total Foreign,Soybean Oil,Domestic Total,2018/19,Annual,44.58,,
SOYBEAN_OIL_WORLD_30,2020-10,Total Foreign,Soybean Oil,Exports,2018/19,Annual,10.35,,
SOYBEAN_OIL_WORLD_30,2020-10,Total Foreign,Soybean Oil,Ending Stocks,2018/19,Annual,3.08,,
SOYBEAN_OIL_WORLD_30,2020-10,Major Exporters 3/,Soybean Oil,Beginning Stocks,2018/19,Annual,0.8,,
SOYBEAN_OIL_WORLD_30,2020-10,Major Exporters 3/,Soybean Oil,Production,2018/19,Annual,19.74,,
SOYBEAN_OIL_WORLD_30,2020-10,Major Exporters 3/,Soybean Oil,Imports,2018/19,Annual,0.47,,
SOYBEAN_OIL_WORLD_30,2020-10,Major Exporters 3/,Soybean Oil,Domestic Total,2018/19,Annual,12.24,,
SOYBEAN_OIL_WORLD_30,2020-10,Major Exporters 3/,Soybean Oil,Exports,2018/19,Annual,7.78,,
SOYBEAN_OIL_WORLD_30,2020-10,Major Exporters 3/,Soybean Oil,Ending Stocks,2018/19,Annual,0.99,,
SOYBEAN_OIL_WORLD_30,2020-10,Argentina,Soybean Oil,Beginning Stocks,2018/19,Annual,0.27,,
SOYBEAN_OIL_WORLD_30,2020-10,Argentina,Soybean Oil,Production,2018/19,Annual,7.91,,
SOYBEAN_OIL_WORLD_30,2020-10,Argentina,Soybean Oil,Imports,2018/19,Annual,0.0,,
SOYBEAN_OIL_WORLD_30,2020-10,Argentina,Soybean Oil,Domestic Total,2018/19,Annual,2.57,,
SOYBEAN_OIL_WORLD_30,2020-10,Argentina,Soybean Oil,Exports,2018/19,Annual,5.26,,
SOYBEAN_OIL_WORLD_30,2020-10,Argentina,Soybean Oil,Ending Stocks,2018/19,Annual,0.35,,
SOYBEAN_OIL_WORLD_30,2020-10,Brazil,Soybean Oil,Beginning Stocks,2018/19,Annual,0.37,,
SOYBEAN_OIL_WORLD_30,2020-10,Brazil,Soybean Oil,Production,2018/19,Annual,8.18,,
SOYBEAN_OIL_WORLD_30,2020-10,Brazil,Soybean Oil,Imports,2018/19,Annual,0.02,,
SOYBEAN_OIL_WORLD_30,2020-10,Brazil,Soybean Oil,Domestic Total,2018/19,Annual,7.17,,
SOYBEAN_OIL_WORLD_30,2020-10,Brazil,Soybean Oil,Exports,2018/19,Annual,1.08,,
SOYBEAN_OIL_WORLD_30,2020-10,Brazil,Soybean Oil,Ending Stocks,2018/19,Annual,0.33,,
SOYBEAN_OIL_WORLD_30,2020-10,European Union,Soybean Oil,Beginning Stocks,2018/19,Annual,0.15,,
SOYBEAN_OIL_WORLD_30,2020-10,European Union,Soybean Oil,Production,2018/19,Annual,2.96,,
SOYBEAN_OIL_WORLD_30,2020-10,European Union,Soybean Oil,Imports,2018/19,Annual,0.42,,
SOYBEAN_OIL_WORLD_30,2020-10,European Union,Soybean Oil,Domestic Total,2018/19,Annual,2.46,,
SOYBEAN_OIL_WORLD_30,2020-10,European Union,Soybean Oil,Exports,2018/19,Annual,0.79,,
SOYBEAN_OIL_WORLD_30,2020-10,European Union,Soybean Oil,Ending Stocks,2018/19,Annual,0.29,,
SOYBEAN_OIL_WORLD_30,2020-10,Major Importers 4/,Soybean Oil,Beginning Stocks,2018/19,Annual,1.03,,
SOYBEAN_OIL_WORLD_30,2020-10,Major Importers 4/,Soybean Oil,Production,2018/19,Annual,18.02,,
SOYBEAN_OIL_WORLD_30,2020-10,Major Importers 4/,Soybean Oil,Imports,2018/19,Annual,6.33,,
SOYBEAN_OIL_WORLD_30,2020-10,Major Importers 4/,Soybean Oil,Domestic Total,2018/19,Annual,23.99,,
SOYBEAN_OIL_WORLD_30,2020-10,Major Importers 4/,Soybean Oil,Exports,2018/19,Annual,0.31,,
SOYBEAN_OIL_WORLD_30,2020-10,Major Importers 4/,Soybean Oil,Ending Stocks,2018/19,Annual,1.09,,
SOYBEAN_OIL_WORLD_30,2020-10,China,Soybean Oil,Beginning Stocks,2018/19,Annual,0.57,,
SOYBEAN_OIL_WORLD_30,2020-10,China,Soybean Oil,Production,2018/19,Annual,15.23,,
SOYBEAN_OIL_WORLD_30,2020-10,China,Soybean Oil,Imports,2018/19,Annual,0.78,,
SOYBEAN_OIL_WORLD_30,2020-10,China,Soybean Oil,Domestic Total,2018/19,Annual,15.89,,
SOYBEAN_OIL_WORLD_30,2020-10,China,Soybean Oil,Exports,2018/19,Annual,0.2,,
SOYBEAN_OIL_WORLD_30,2020-10,China,Soybean Oil,Ending Stocks,2018/19,Annual,0.5,,
SOYBEAN_OIL_WORLD_30,2020-10,India,Soybean Oil,Beginning Stocks,2018/19,Annual,0.17,,
SOYBEAN_OIL_WORLD_30,2020-10,India,Soybean Oil,Production,2018/19,Annual,1.73,,
SOYBEAN_OIL_WORLD_30,2020-10,India,Soybean Oil,Imports,2018/19,Annual,3.0,,
SOYBEAN_OIL_WORLD_30,2020-10,India,Soybean Oil,Domestic Total,2018/19,Annual,4.75,,
SOYBEAN_OIL_WORLD_30,2020-10,India,Soybean Oil,Exports,2018/19,Annual,0.01,,
SOYBEAN_OIL_WORLD_30,2020-10,India,Soybean Oil,Ending Stocks,2018/19,Annual,0.14,,
SOYBEAN_OIL_WORLD_30,2020-10,North Africa 5/,Soybean Oil,Beginning Stocks,2018/19,Annual,0.19,,
SOYBEAN_OIL_WORLD_30,2020-10,North Africa 5/,Soybean Oil,Production,2018/19,Annual,0.73,,
SOYBEAN_OIL_WORLD_30,2020-10,North Africa 5/,Soybean Oil,Imports,2018/19,Annual,1.56,,
SOYBEAN_OIL_WORLD_30,2020-10,North Africa 5/,Soybean Oil,Domestic Total,2018/19,Annual,2.18,,
SOYBEAN_OIL_WORLD_30,2020-10,North Africa 5/,Soybean Oil,Exports,2018/19,Annual,0.1,,
SOYBEAN_OIL_WORLD_30,2020-10,North Africa 5/,Soybean Oil,Ending Stocks,2018/19,Annual,0.2,,
SOYBEAN_OIL_WORLD_30,2020-10,World 2/,Soybean Oil,Beginning Stocks,2019/20 Est.,Annual,3.88,,
SOYBEAN_OIL_WORLD_30,2020-10,World 2/,Soybean Oil,Production,2019/20 Est.,Annual,57.7,,
