code,report_month,region,commodity,item,year,period,value,min_value,max_value
WHEAT_WORLD_19,2020-10,World 3/,Wheat,Beginning Stocks,2020/21 Proj.,Sep,299.78,,
WHEAT_WORLD_19,2020-10,World 3/,Wheat,Production,2020/21 Proj.,Sep,770.49,,
WHEAT_WORLD_19,2020-10,World 3/,Wheat,Imports,2020/21 Proj.,Sep,185.29,,
WHEAT_WORLD_19,2020-10,World 3/,Wheat,Domestic Feed,2020/21 Proj.,Sep,134.62,,
WHEAT_WORLD_19,2020-10,World 3/,Wheat,Domestic Total 2/,2020/21 Proj.,Sep,750.9,,
WHEAT_WORLD_19,2020-10,World 3/,Wheat,Exports,2020/21 Proj.,Sep,189.44,,
WHEAT_WORLD_19,2020-10,World 3/,Wheat,Ending Stocks,2020/21 Proj.,Sep,319.37,,
WHEAT_WORLD_19,2020-10,World 3/,Wheat,Beginning Stocks,2020/21 Proj.,Oct,299.4,,
WHEAT_WORLD_19,2020-10,World 3/,Wheat,Production,2020/21 Proj.,Oct,773.08,,
WHEAT_WORLD_19,2020-10,World 3/,Wheat,Imports,2020/21 Proj.,Oct,186.23,,
WHEAT_WORLD_19,2020-10,World 3/,Wheat,Domestic Feed,2020/21 Proj.,Oct,134.6,,
WHEAT_WORLD_19,2020-10,World 3/,Wheat,Domestic Total 2/,2020/21 Proj.,Oct,751.03,,
WHEAT_WORLD_19,2020-10,World 3/,Wheat,Exports,2020/21 Proj.,Oct,189.92,,
WHEAT_WORLD_19,2020-10,World 3/,Wheat,Ending Stocks,2020/21 Proj.,Oct,321.45,,
WHEAT_WORLD_19,2020-10,World Less China,Wheat,Beginning Stocks,2020/21 Proj.,Sep,148.1,,
WHEAT_WORLD_19,2020-10,World Less China,Wheat,Production,2020/21 Proj.,Sep,634.49,,
WHEAT_WORLD_19,2020-10,World Less China,Wheat,Imports,2020/21 Proj.,Sep,178.29,,
WHEAT_WORLD_19,2020-10,World Less China,Wheat,Domestic Feed,2020/21 Proj.,Sep,114.62,,
WHEAT_WORLD_19,2020-10,World Less China,Wheat,Domestic Total 2/,2020/21 Proj.,Sep,620.9,,
WHEAT_WORLD_19,2020-10,World Less China,Wheat,Exports,2020/21 Proj.,Sep,188.44,,
WHEAT_WORLD_19,2020-10,World Less China,Wheat,Ending Stocks,2020/21 Proj.,Sep,155.69,,
